"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","22","","ApiTests","Get","MyUnitTests","GetUsersBySex_Test","GetUsersBySex_Test",""
"passed","Fri Apr 26 07:51:18 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","606","","ApiTests","Delete","MyUnitTests","DeleteUser_Test","DeleteUser_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","9","","ApiTests","Post","MyUnitTests","PostDuplicateCreateUser_UserIsNotCreated_Test","PostDuplicateCreateUser_UserIsNotCreated_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsers_Test","UploadUsers_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","26","","ApiTests","Post","MyUnitTests","PostZipCodes_Test","PostZipCodes_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","9","","ApiTests","Get","MyUnitTests","GetZipCodes_Test","GetZipCodes_Test",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","5","","ApiTests","Get","MyUnitTests","GetUsersByYoungerAge_Test","GetUsersByYoungerAge_Test",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","18","","ApiTests","Delete","MyUnitTests","DeleteUserWithRequiredFields_UserIsDeleted_Test","DeleteUserWithRequiredFields_UserIsDeleted_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","6","","ApiTests","Put","MyUnitTests","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test","UpdateUserWithNotFilledReqiuredFields_UserIsNotUpdated_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","8","","ApiTests","Put","MyUnitTests","UpdateUser_Test","UpdateUser_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","9","","ApiTests","Post","MyUnitTests","PostDuplicateZipCodes_Test","PostDuplicateZipCodes_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","88","","ApiTests","Delete","MyUnitTests","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test","DeleteUserWithEmptyRequiredField_UserIsNotDeleted_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","13","","ApiTests","Put","MyUnitTests","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test","UpdateUserWithIndalidZipCode_UserIsNotUpdated_Test",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","16","","ApiTests","Post","MyUnitTests","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test","PostNotAvailableZipCodeCreateUser_UserIsNotCreated_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest","UploadUsersWithMissedRequiredFields_UsersAreNotUploadedTest",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","22","","ApiTests","Post","MyUnitTests","PostRequiredFieldsCreateUser_Test","PostRequiredFieldsCreateUser_Test",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","31","","ApiTests","Get","MyUnitTests","GetUsers_Test","GetUsers_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","9","","ApiTests","Post","MyUnitTests","PostAlreadyUsedZipCodes_Test","PostAlreadyUsedZipCodes_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","8","","ApiTests","Post","MyUnitTests","PostCreateUser_Test","PostCreateUser_Test",""
"passed","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","9","","ApiTests","Get","MyUnitTests","GetUsersByOlderAge_Test","GetUsersByOlderAge_Test",""
"broken","Fri Apr 26 07:51:19 GMT 2024","Fri Apr 26 07:51:19 GMT 2024","1","","ApiTests","Post","MyUnitTests","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest","UploadUsersWithIncorrectZipCodes_UsersAreNotUploadedTest",""
